DateKey,Date,Day,Month,MonthName,Quarter,Year,Week,DayName
20220101,2022-01-01,1,1,January,1,2022,52,Saturday
20220102,2022-01-02,2,1,January,1,2022,52,Sunday
20220103,2022-01-03,3,1,January,1,2022,1,Monday
20220104,2022-01-04,4,1,January,1,2022,1,Tuesday
20220105,2022-01-05,5,1,January,1,2022,1,Wednesday
20220106,2022-01-06,6,1,January,1,2022,1,Thursday
20220107,2022-01-07,7,1,January,1,2022,1,Friday
20220108,2022-01-08,8,1,January,1,2022,1,Saturday
20220109,2022-01-09,9,1,January,1,2022,1,Sunday
20220110,2022-01-10,10,1,January,1,2022,2,Monday
20220111,2022-01-11,11,1,January,1,2022,2,Tuesday
20220112,2022-01-12,12,1,January,1,2022,2,Wednesday
20220113,2022-01-13,13,1,January,1,2022,2,Thursday
20220114,2022-01-14,14,1,January,1,2022,2,Friday
20220115,2022-01-15,15,1,January,1,2022,2,Saturday
20220116,2022-01-16,16,1,January,1,2022,2,Sunday
20220117,2022-01-17,17,1,January,1,2022,3,Monday
20220118,2022-01-18,18,1,January,1,2022,3,Tuesday
20220119,2022-01-19,19,1,January,1,2022,3,Wednesday
20220120,2022-01-20,20,1,January,1,2022,3,Thursday
20220121,2022-01-21,21,1,January,1,2022,3,Friday
20220122,2022-01-22,22,1,January,1,2022,3,Saturday
20220123,2022-01-23,23,1,January,1,2022,3,Sunday
20220124,2022-01-24,24,1,January,1,2022,4,Monday
20220125,2022-01-25,25,1,January,1,2022,4,Tuesday
20220126,2022-01-26,26,1,January,1,2022,4,Wednesday
20220127,2022-01-27,27,1,January,1,2022,4,Thursday
20220128,2022-01-28,28,1,January,1,2022,4,Friday
20220129,2022-01-29,29,1,January,1,2022,4,Saturday
20220130,2022-01-30,30,1,January,1,2022,4,Sunday
20220131,2022-01-31,31,1,January,1,2022,5,Monday
20220201,2022-02-01,1,2,February,1,2022,5,Tuesday
20220202,2022-02-02,2,2,February,1,2022,5,Wednesday
20220203,2022-02-03,3,2,February,1,2022,5,Thursday
20220204,2022-02-04,4,2,February,1,2022,5,Friday
20220205,2022-02-05,5,2,February,1,2022,5,Saturday
20220206,2022-02-06,6,2,February,1,2022,5,Sunday
20220207,2022-02-07,7,2,February,1,2022,6,Monday
20220208,2022-02-08,8,2,February,1,2022,6,Tuesday
20220209,2022-02-09,9,2,February,1,2022,6,Wednesday
20220210,2022-02-10,10,2,February,1,2022,6,Thursday
20220211,2022-02-11,11,2,February,1,2022,6,Friday
20220212,2022-02-12,12,2,February,1,2022,6,Saturday
20220213,2022-02-13,13,2,February,1,2022,6,Sunday
20220214,2022-02-14,14,2,February,1,2022,7,Monday
20220215,2022-02-15,15,2,February,1,2022,7,Tuesday
20220216,2022-02-16,16,2,February,1,2022,7,Wednesday
20220217,2022-02-17,17,2,February,1,2022,7,Thursday
20220218,2022-02-18,18,2,February,1,2022,7,Friday
20220219,2022-02-19,19,2,February,1,2022,7,Saturday
20220220,2022-02-20,20,2,February,1,2022,7,Sunday
20220221,2022-02-21,21,2,February,1,2022,8,Monday
20220222,2022-02-22,22,2,February,1,2022,8,Tuesday
20220223,2022-02-23,23,2,February,1,2022,8,Wednesday
20220224,2022-02-24,24,2,February,1,2022,8,Thursday
20220225,2022-02-25,25,2,February,1,2022,8,Friday
20220226,2022-02-26,26,2,February,1,2022,8,Saturday
20220227,2022-02-27,27,2,February,1,2022,8,Sunday
20220228,2022-02-28,28,2,February,1,2022,9,Monday
20220301,2022-03-01,1,3,March,1,2022,9,Tuesday
20220302,2022-03-02,2,3,March,1,2022,9,Wednesday
20220303,2022-03-03,3,3,March,1,2022,9,Thursday
20220304,2022-03-04,4,3,March,1,2022,9,Friday
20220305,2022-03-05,5,3,March,1,2022,9,Saturday
20220306,2022-03-06,6,3,March,1,2022,9,Sunday
20220307,2022-03-07,7,3,March,1,2022,10,Monday
20220308,2022-03-08,8,3,March,1,2022,10,Tuesday
20220309,2022-03-09,9,3,March,1,2022,10,Wednesday
20220310,2022-03-10,10,3,March,1,2022,10,Thursday
20220311,2022-03-11,11,3,March,1,2022,10,Friday
20220312,2022-03-12,12,3,March,1,2022,10,Saturday
20220313,2022-03-13,13,3,March,1,2022,10,Sunday
20220314,2022-03-14,14,3,March,1,2022,11,Monday
20220315,2022-03-15,15,3,March,1,2022,11,Tuesday
20220316,2022-03-16,16,3,March,1,2022,11,Wednesday
20220317,2022-03-17,17,3,March,1,2022,11,Thursday
20220318,2022-03-18,18,3,March,1,2022,11,Friday
20220319,2022-03-19,19,3,March,1,2022,11,Saturday
20220320,2022-03-20,20,3,March,1,2022,11,Sunday
20220321,2022-03-21,21,3,March,1,2022,12,Monday
20220322,2022-03-22,22,3,March,1,2022,12,Tuesday
20220323,2022-03-23,23,3,March,1,2022,12,Wednesday
20220324,2022-03-24,24,3,March,1,2022,12,Thursday
20220325,2022-03-25,25,3,March,1,2022,12,Friday
20220326,2022-03-26,26,3,March,1,2022,12,Saturday
20220327,2022-03-27,27,3,March,1,2022,12,Sunday
20220328,2022-03-28,28,3,March,1,2022,13,Monday
20220329,2022-03-29,29,3,March,1,2022,13,Tuesday
20220330,2022-03-30,30,3,March,1,2022,13,Wednesday
20220331,2022-03-31,31,3,March,1,2022,13,Thursday
20220401,2022-04-01,1,4,April,2,2022,13,Friday
20220402,2022-04-02,2,4,April,2,2022,13,Saturday
20220403,2022-04-03,3,4,April,2,2022,13,Sunday
20220404,2022-04-04,4,4,April,2,2022,14,Monday
20220405,2022-04-05,5,4,April,2,2022,14,Tuesday
20220406,2022-04-06,6,4,April,2,2022,14,Wednesday
20220407,2022-04-07,7,4,April,2,2022,14,Thursday
20220408,2022-04-08,8,4,April,2,2022,14,Friday
20220409,2022-04-09,9,4,April,2,2022,14,Saturday
20220410,2022-04-10,10,4,April,2,2022,14,Sunday
